IN | IN = -3.70274
DT | IN = -5.36025
NNP | IN = -2.00194
CD | IN = -3.81776
NN | IN = -0.995644
`` | IN = -6.05788
'' | IN = -7.08107
POS | IN = -8.64127
( | IN = -7.85388
VBN | IN = -5.18483
NNS | IN = -1.57333
VBP | IN = -3.90947
, | IN = -4.408
CC | IN = -4.88737
) | IN = -7.81102
VBD | IN = -3.44195
RB | IN = -4.52901
TO | IN = -5.25662
. | IN = -6.70007
VBZ | IN = -3.53635
NNPS | IN = -5.03722
PRP | IN = -5.41557
PRP$ | IN = -8.03566
VB | IN = -5.18173
JJ | IN = -4.23543
MD | IN = -3.95641
VBG | IN = -3.59254
RBR | IN = -8.13917
: | IN = -6.06215
WP | IN = -7.69114
WDT | IN = -6.45083
JJR | IN = -6.47199
PDT | IN = -9.07659
RBS | IN = -10.7288
WRB | IN = -8.03984
JJS | IN = -6.74056
$ | IN = -3.81494
RP | IN = -7.91002
FW | IN = -8.70333
EX | IN = -8.87197
SYM | IN = -10.4134
# | IN = -9.10622
LS | IN = -10.4741
UH | IN = -10.157
WP$ | IN = -9.84947
IN | DT = -1.27357
DT | DT = -3.23014
NNP | DT = -3.6969
CD | DT = -3.03907
NN | DT = -2.53745
`` | DT = -4.74618
'' | DT = -4.77169
POS | DT = -7.04778
( | DT = -5.93104
VBN | DT = -3.65187
NNS | DT = -3.0563
VBP | DT = -4.91283
, | DT = -2.74948
CC | DT = -2.96805
) | DT = -5.95267
VBD | DT = -4.4427
RB | DT = -2.55341
TO | DT = -2.67706
. | DT = -4.53629
VBZ | DT = -4.86665
NNPS | DT = -6.40468
PRP | DT = -5.26246
PRP$ | DT = -5.71345
VB | DT = -11.6052
JJ | DT = -3.20219
MD | DT = -4.82627
VBG | DT = -3.96386
RBR | DT = -4.63645
: | DT = -4.85352
WP | DT = -6.43992
WDT | DT = -6.73749
JJR | DT = -4.53367
PDT | DT = -6.93461
RBS | DT = -6.42895
WRB | DT = -5.56762
JJS | DT = -5.19147
$ | DT = -5.02026
RP | DT = -5.7591
FW | DT = -7.70033
EX | DT = -7.50976
SYM | DT = -8.73682
# | DT = -8.37936
LS | DT = -8.67981
UH | DT = -8.51862
WP$ | DT = -7.57662
IN | NNP = -3.45015
DT | NNP = -2.40625
NNP | NNP = -0.77868
CD | NNP = -3.82377
NN | NNP = -2.83805
`` | NNP = -5.77349
'' | NNP = -5.84122
POS | NNP = -2.76745
( | NNP = -5.36255
VBN | NNP = -6.28717
NNS | NNP = -7.17325
VBP | NNP = -6.35249
, | NNP = -1.87513
CC | NNP = -3.21495
) | NNP = -5.39249
VBD | NNP = -4.80628
RB | NNP = -5.98802
TO | NNP = -7.3486
. | NNP = -4.68384
VBZ | NNP = -4.71816
NNPS | NNP = -5.40852
PRP | NNP = -8.60569
PRP$ | NNP = -7.49053
VB | NNP = -21.3743
JJ | NNP = -3.92807
MD | NNP = -6.40194
VBG | NNP = -6.28338
RBR | NNP = -11.1444
: | NNP = -5.66519
WP | NNP = -11.0392
WDT | NNP = -9.25637
JJR | NNP = -7.78068
PDT | NNP = -9.44852
RBS | NNP = -11.9972
WRB | NNP = -12.8347
JJS | NNP = -8.28439
$ | NNP = -7.82933
RP | NNP = -15.7316
FW | NNP = -9.88067
EX | NNP = -11.8304
SYM | NNP = -13.0502
# | NNP = -12.2522
LS | NNP = -13.0913
UH | NNP = -12.5644
WP$ | NNP = -10.8781
IN | CD = -1.31398
DT | CD = -2.80883
NNP | CD = -4.76748
CD | CD = -1.22194
NN | CD = -3.64542
`` | CD = -6.01437
'' | CD = -6.01394
POS | CD = -5.99536
( | CD = -5.28996
VBN | CD = -4.6872
NNS | CD = -4.20852
VBP | CD = -5.73611
, | CD = -2.99627
CC | CD = -2.8992
) | CD = -5.28744
VBD | CD = -5.35552
RB | CD = -3.09338
TO | CD = -3.50446
. | CD = -6.18145
VBZ | CD = -6.24179
NNPS | CD = -7.41909
PRP | CD = -7.80404
PRP$ | CD = -4.31125
VB | CD = -20.329
JJ | CD = -3.14387
MD | CD = -6.02207
VBG | CD = -4.89546
RBR | CD = -4.76816
: | CD = -5.42501
WP | CD = -8.95595
WDT | CD = -9.59124
JJR | CD = -4.25699
PDT | CD = -6.79364
RBS | CD = -6.64887
WRB | CD = -7.72853
JJS | CD = -4.96498
$ | CD = -6.19981
RP | CD = -8.52983
FW | CD = -8.42432
EX | CD = -10.1076
SYM | CD = -9.91106
# | CD = -9.90698
LS | CD = -9.99594
UH | CD = -9.78856
WP$ | CD = -7.7728
IN | NN = -1.94441
DT | NN = -1.17975
NNP | NN = -2.87016
CD | NN = -3.80944
NN | NN = -2.25469
`` | NN = -5.37778
'' | NN = -5.66004
POS | NN = -4.25008
( | NN = -6.99346
VBN | NN = -4.27025
NNS | NN = -5.1022
VBP | NN = -5.47726
, | NN = -3.52761
CC | NN = -3.68699
) | NN = -7.10613
VBD | NN = -4.90155
RB | NN = -4.64778
TO | NN = -4.0387
. | NN = -7.10777
VBZ | NN = -4.75661
NNPS | NN = -6.68559
PRP | NN = -7.64327
PRP$ | NN = -3.46218
VB | NN = -15.1604
JJ | NN = -1.90989
MD | NN = -5.58699
VBG | NN = -4.55251
RBR | NN = -6.63914
: | NN = -5.28132
WP | NN = -8.9665
WDT | NN = -8.50279
JJR | NN = -5.31036
PDT | NN = -6.72072
RBS | NN = -8.02003
WRB | NN = -8.05079
JJS | NN = -5.58768
$ | NN = -5.34494
RP | NN = -7.96715
FW | NN = -8.22473
EX | NN = -9.63231
SYM | NN = -9.85958
# | NN = -9.31554
LS | NN = -9.78768
UH | NN = -9.79185
WP$ | NN = -7.68564
IN | `` = -3.8481
DT | `` = -3.71123
NNP | `` = -4.02025
CD | `` = -3.79129
NN | `` = -3.87466
`` | `` = -3.91224
'' | `` = -3.93004
POS | `` = -3.74941
( | `` = -3.92957
VBN | `` = -3.74955
NNS | `` = -3.89695
VBP | `` = -3.83436
, | `` = -3.97198
CC | `` = -3.8844
) | `` = -3.93963
VBD | `` = -3.99588
RB | `` = -3.91567
TO | `` = -3.86329
. | `` = -4.14097
VBZ | `` = -3.98046
NNPS | `` = -3.99943
PRP | `` = -4.01727
PRP$ | `` = -3.42868
VB | `` = -4.2303
JJ | `` = -3.59886
MD | `` = -3.94517
VBG | `` = -3.79973
RBR | `` = -3.74545
: | `` = -3.87355
WP | `` = -4.00474
WDT | `` = -4.03353
JJR | `` = -3.72953
PDT | `` = -3.69399
RBS | `` = -3.72977
WRB | `` = -3.87196
JJS | `` = -3.71737
$ | `` = -3.85567
RP | `` = -3.7626
FW | `` = -3.83176
EX | `` = -3.96087
SYM | `` = -3.81636
# | `` = -3.84927
LS | `` = -3.80658
UH | `` = -3.84232
WP$ | `` = -3.70449
IN | '' = -3.20533
DT | '' = -3.39675
NNP | '' = -2.83936
CD | '' = -3.65966
NN | '' = -2.90272
`` | '' = -3.67748
'' | '' = -3.75468
POS | '' = -4.01726
( | '' = -4.11843
VBN | '' = -3.63428
NNS | '' = -3.44765
VBP | '' = -3.68614
, | '' = -3.16444
CC | '' = -3.39771
) | '' = -4.12405
VBD | '' = -3.44181
RB | '' = -3.55043
TO | '' = -3.70455
. | '' = -3.54152
VBZ | '' = -3.39733
NNPS | '' = -3.735
PRP | '' = -3.79563
PRP$ | '' = -4.4363
VB | '' = -4.6991
JJ | '' = -3.44267
MD | '' = -3.63018
VBG | '' = -3.56861
RBR | '' = -4.54111
: | '' = -3.77514
WP | '' = -4.28799
WDT | '' = -3.99113
JJR | '' = -4.12843
PDT | '' = -4.62024
RBS | '' = -4.91245
WRB | '' = -4.48664
JJS | '' = -4.23812
$ | '' = -3.78572
RP | '' = -4.70677
FW | '' = -4.57674
EX | '' = -4.51104
SYM | '' = -5.03323
# | '' = -4.78795
LS | '' = -5.01686
UH | '' = -4.93666
WP$ | '' = -4.82292
IN | POS = -3.71391
DT | POS = -3.7834
NNP | POS = -3.94329
CD | POS = -3.78532
NN | POS = -3.86229
`` | POS = -3.85846
'' | POS = -3.8382
POS | POS = -3.92829
( | POS = -3.87299
VBN | POS = -3.80634
NNS | POS = -3.8397
VBP | POS = -3.9002
, | POS = -3.82082
CC | POS = -3.7949
) | POS = -3.87306
VBD | POS = -3.90199
RB | POS = -3.74369
TO | POS = -3.71563
. | POS = -3.87255
VBZ | POS = -3.92666
NNPS | POS = -3.97566
PRP | POS = -3.88539
PRP$ | POS = -3.78728
VB | POS = -4.16051
JJ | POS = -3.80406
MD | POS = -3.89395
VBG | POS = -3.84731
RBR | POS = -3.71237
: | POS = -3.85084
WP | POS = -3.87145
WDT | POS = -3.94462
JJR | POS = -3.77972
PDT | POS = -3.83484
RBS | POS = -3.75244
WRB | POS = -3.77698
JJS | POS = -3.80304
$ | POS = -3.87776
RP | POS = -3.74867
FW | POS = -3.90122
EX | POS = -3.89708
SYM | POS = -3.88898
# | POS = -3.91249
LS | POS = -3.88762
UH | POS = -3.89293
WP$ | POS = -3.84783
IN | ( = -3.62453
DT | ( = -3.86893
NNP | ( = -3.83237
CD | ( = -3.6689
NN | ( = -3.80207
`` | ( = -3.80273
'' | ( = -3.76286
POS | ( = -4.0339
( | ( = -3.7446
VBN | ( = -3.78803
NNS | ( = -3.73631
VBP | ( = -3.86785
, | ( = -3.62589
CC | ( = -3.65829
) | ( = -3.73861
VBD | ( = -3.83086
RB | ( = -3.6025
TO | ( = -3.70198
. | ( = -3.59521
VBZ | ( = -3.89523
NNPS | ( = -3.90983
PRP | ( = -3.77502
PRP$ | ( = -4.05828
VB | ( = -4.35689
JJ | ( = -3.87153
MD | ( = -3.8514
VBG | ( = -3.82506
RBR | ( = -3.76443
: | ( = -3.81093
WP | ( = -3.83338
WDT | ( = -3.89232
JJR | ( = -3.80261
PDT | ( = -3.981
RBS | ( = -3.84802
WRB | ( = -3.83631
JJS | ( = -3.87062
$ | ( = -3.93311
RP | ( = -3.9505
FW | ( = -3.9816
EX | ( = -3.90976
SYM | ( = -4.03074
# | ( = -4.04051
LS | ( = -4.0309
UH | ( = -4.00275
WP$ | ( = -4.01292
IN | VBN = -0.920723
DT | VBN = -4.33326
NNP | VBN = -4.45976
CD | VBN = -6.02215
NN | VBN = -2.25438
`` | VBN = -5.13738
'' | VBN = -5.09282
POS | VBN = -11.2228
( | VBN = -9.20986
VBN | VBN = -3.42318
NNS | VBN = -2.98696
VBP | VBN = -6.13323
, | VBN = -3.38814
CC | VBN = -3.86816
) | VBN = -9.29477
VBD | VBN = -5.56478
RB | VBN = -2.4248
TO | VBN = -2.05363
. | VBN = -4.69833
VBZ | VBN = -5.68951
NNPS | VBN = -8.56709
PRP | VBN = -4.71173
PRP$ | VBN = -8.77756
VB | VBN = -8.23905
JJ | VBN = -3.86923
MD | VBN = -5.67853
VBG | VBN = -4.33864
RBR | VBN = -5.54166
: | VBN = -6.06915
WP | VBN = -6.3317
WDT | VBN = -6.72348
JJR | VBN = -6.16477
PDT | VBN = -9.60532
RBS | VBN = -8.09303
WRB | VBN = -4.92038
JJS | VBN = -7.14585
$ | VBN = -5.83125
RP | VBN = -4.24996
FW | VBN = -10.1808
EX | VBN = -7.79911
SYM | VBN = -11.0629
# | VBN = -10.2961
LS | VBN = -10.7769
UH | VBN = -10.6784
WP$ | VBN = -10.2004
IN | NNS = -2.09386
DT | NNS = -1.99496
NNP | NNS = -3.10069
CD | NNS = -2.7095
NN | NNS = -1.9811
`` | NNS = -5.49912
'' | NNS = -5.9075
POS | NNS = -4.93726
( | NNS = -6.51297
VBN | NNS = -3.80585
NNS | NNS = -4.04999
VBP | NNS = -4.70817
, | NNS = -3.32457
CC | NNS = -3.35567
) | NNS = -6.58435
VBD | NNS = -5.00068
RB | NNS = -4.23255
TO | NNS = -4.51502
. | NNS = -6.8836
VBZ | NNS = -5.04698
NNPS | NNS = -6.50411
PRP | NNS = -7.28425
PRP$ | NNS = -3.48309
VB | NNS = -15.8272
JJ | NNS = -1.46561
MD | NNS = -5.47446
VBG | NNS = -3.91442
RBR | NNS = -6.58243
: | NNS = -5.22151
WP | NNS = -9.09862
WDT | NNS = -8.53693
JJR | NNS = -4.86866
PDT | NNS = -6.86318
RBS | NNS = -8.18776
WRB | NNS = -8.42527
JJS | NNS = -5.3074
$ | NNS = -5.33142
RP | NNS = -8.63472
FW | NNS = -8.26796
EX | NNS = -9.8178
SYM | NNS = -10.1106
# | NNS = -9.59866
LS | NNS = -10.0472
UH | NNS = -9.9821
WP$ | NNS = -7.9115
IN | VBP = -2.63954
DT | VBP = -6.34024
NNP | VBP = -4.05439
CD | VBP = -5.05457
NN | VBP = -2.56235
`` | VBP = -4.23896
'' | VBP = -4.1805
POS | VBP = -10.2841
( | VBP = -6.48943
VBN | VBP = -2.86532
NNS | VBP = -1.96125
VBP | VBP = -4.32724
, | VBP = -2.73707
CC | VBP = -3.35691
) | VBP = -6.47893
VBD | VBP = -4.9548
RB | VBP = -2.26999
TO | VBP = -3.69779
. | VBP = -2.07419
VBZ | VBP = -5.13426
NNPS | VBP = -6.08908
PRP | VBP = -2.53558
PRP$ | VBP = -9.35289
VB | VBP = -4.35217
JJ | VBP = -4.21236
MD | VBP = -4.71628
VBG | VBP = -3.47386
RBR | VBP = -5.65869
: | VBP = -5.07041
WP | VBP = -4.41594
WDT | VBP = -4.23202
JJR | VBP = -5.56921
PDT | VBP = -8.63909
RBS | VBP = -7.29964
WRB | VBP = -4.70806
JJS | VBP = -6.5499
$ | VBP = -5.53886
RP | VBP = -5.2138
FW | VBP = -8.05171
EX | VBP = -5.41208
SYM | VBP = -8.85423
# | VBP = -8.27817
LS | VBP = -8.60688
UH | VBP = -8.33171
WP$ | VBP = -8.96751
IN | , = -4.07778
DT | , = -3.87509
NNP | , = -3.89955
CD | , = -3.70678
NN | , = -4.07458
`` | , = -3.93569
'' | , = -3.92814
POS | , = -3.45581
( | , = -3.58101
VBN | , = -4.07568
NNS | , = -4.08212
VBP | , = -3.89444
, | , = -3.92541
CC | , = -3.90735
) | , = -3.57184
VBD | , = -3.86248
RB | , = -4.02791
TO | , = -4.08001
. | , = -3.92611
VBZ | , = -3.88493
NNPS | , = -3.71138
PRP | , = -4.04306
PRP$ | , = -3.68946
VB | , = -4.29055
JJ | , = -3.99711
MD | , = -3.89932
VBG | , = -3.99846
RBR | , = -3.90887
: | , = -3.8457
WP | , = -3.96347
WDT | , = -3.95115
JJR | , = -3.83737
PDT | , = -3.66728
RBS | , = -3.78282
WRB | , = -4.05646
JJS | , = -3.79053
$ | , = -3.91634
RP | , = -4.1743
FW | , = -3.66707
EX | , = -3.90468
SYM | , = -3.67152
# | , = -3.7243
LS | , = -3.69992
UH | , = -3.69103
WP$ | , = -3.67012
IN | CC = -3.80309
DT | CC = -4.64803
NNP | CC = -1.99436
CD | CC = -4.00124
NN | CC = -1.32065
`` | CC = -5.31007
'' | CC = -6.203
POS | CC = -6.97813
( | CC = -6.99065
VBN | CC = -4.68801
NNS | CC = -1.90532
VBP | CC = -3.53381
, | CC = -4.40715
CC | CC = -4.75754
) | CC = -6.96953
VBD | CC = -3.12927
RB | CC = -4.57337
TO | CC = -4.82682
. | CC = -6.24557
VBZ | CC = -3.06684
NNPS | CC = -4.30068
PRP | CC = -4.83203
PRP$ | CC = -6.50144
VB | CC = -3.08486
JJ | CC = -3.83066
MD | CC = -3.52814
VBG | CC = -3.38147
RBR | CC = -7.0711
: | CC = -5.33832
WP | CC = -6.46996
WDT | CC = -5.37512
JJR | CC = -5.73558
PDT | CC = -7.41968
RBS | CC = -8.96257
WRB | CC = -6.71701
JJS | CC = -5.79899
$ | CC = -3.24379
RP | CC = -6.33103
FW | CC = -7.0822
EX | CC = -7.27139
SYM | CC = -8.29776
# | CC = -7.21545
LS | CC = -8.34286
