IN | IN = -3.96955
DT | IN = -5.10818
NNP | IN = -2.04761
CD | IN = -3.83641
NN | IN = -0.97875
`` | IN = -5.74702
'' | IN = -6.96956
POS | IN = -8.8234
( | IN = -7.25263
VBN | IN = -5.60662
NNS | IN = -1.53498
VBP | IN = -3.98547
, | IN = -4.48757
CC | IN = -4.64248
) | IN = -7.29311
VBD | IN = -3.68727
RB | IN = -4.25131
TO | IN = -5.253
. | IN = -6.72809
VBZ | IN = -3.65159
NNPS | IN = -4.86996
PRP | IN = -5.1798
PRP$ | IN = -8.52242
VB | IN = -5.26746
JJ | IN = -4.41418
MD | IN = -3.98988
VBG | IN = -3.50616
RBR | IN = -7.32908
: | IN = -5.89582
WP | IN = -7.63593
WDT | IN = -5.93046
JJR | IN = -6.47277
PDT | IN = -8.75414
RBS | IN = -11.3278
WRB | IN = -8.94997
JJS | IN = -6.62034
$ | IN = -3.78516
RP | IN = -8.85355
FW | IN = -8.15413
EX | IN = -9.07815
SYM | IN = -10.2254
# | IN = -8.26773
LS | IN = -10.2564
UH | IN = -9.83605
WP$ | IN = -9.70601
IN | DT = -1.13406
DT | DT = -3.6386
NNP | DT = -3.68773
CD | DT = -3.26527
NN | DT = -2.79831
`` | DT = -4.97947
'' | DT = -4.87537
POS | DT = -6.74989
( | DT = -5.80292
VBN | DT = -3.20791
NNS | DT = -3.08597
VBP | DT = -4.77073
, | DT = -2.886
CC | DT = -3.40218
) | DT = -5.83999
VBD | DT = -3.67695
RB | DT = -3.49099
TO | DT = -2.6832
. | DT = -4.60842
VBZ | DT = -4.64953
NNPS | DT = -6.00814
PRP | DT = -5.41784
PRP$ | DT = -5.76633
VB | DT = -11.1296
JJ | DT = -2.73128
MD | DT = -4.4988
VBG | DT = -4.07676
RBR | DT = -4.58568
: | DT = -4.92064
WP | DT = -6.30413
WDT | DT = -7.19823
JJR | DT = -3.79839
PDT | DT = -6.65236
RBS | DT = -6.24254
WRB | DT = -5.24266
JJS | DT = -4.84307
$ | DT = -4.61702
RP | DT = -5.54639
FW | DT = -7.47825
EX | DT = -8.09066
SYM | DT = -8.47023
# | DT = -8.13134
LS | DT = -8.44623
UH | DT = -8.18144
WP$ | DT = -7.1549
IN | NNP = -3.27278
DT | NNP = -2.38353
NNP | NNP = -0.806544
CD | NNP = -3.81452
NN | NNP = -2.76103
`` | NNP = -5.60387
'' | NNP = -5.762
POS | NNP = -2.9394
( | NNP = -5.53171
VBN | NNP = -6.91818
NNS | NNP = -7.21035
VBP | NNP = -6.53945
, | NNP = -1.79884
CC | NNP = -3.15137
) | NNP = -5.54893
VBD | NNP = -4.81856
RB | NNP = -5.86663
TO | NNP = -7.28366
. | NNP = -5.05783
VBZ | NNP = -4.85438
NNPS | NNP = -5.38316
PRP | NNP = -8.82277
PRP$ | NNP = -6.94844
VB | NNP = -24.1417
JJ | NNP = -3.97304
MD | NNP = -6.43697
VBG | NNP = -6.39856
RBR | NNP = -11.0633
: | NNP = -5.68061
WP | NNP = -11.2421
WDT | NNP = -8.50535
JJR | NNP = -7.94363
PDT | NNP = -9.20363
RBS | NNP = -12.8117
WRB | NNP = -14.1589
JJS | NNP = -8.11051
$ | NNP = -7.01902
RP | NNP = -17.472
FW | NNP = -8.22127
EX | NNP = -11.8909
SYM | NNP = -12.6868
# | NNP = -12.1224
LS | NNP = -13.1839
UH | NNP = -12.4534
WP$ | NNP = -10.0442
IN | CD = -1.15235
DT | CD = -2.97726
NNP | CD = -4.77399
CD | CD = -1.27143
NN | CD = -3.48439
`` | CD = -6.13339
'' | CD = -6.31627
POS | CD = -6.28247
( | CD = -5.11152
VBN | CD = -5.15318
NNS | CD = -4.35885
VBP | CD = -6.45868
, | CD = -3.19007
CC | CD = -3.124
) | CD = -5.14407
VBD | CD = -5.05475
RB | CD = -3.71892
TO | CD = -3.52309
. | CD = -7.56221
VBZ | CD = -6.58577
NNPS | CD = -7.22535
PRP | CD = -8.44794
PRP$ | CD = -4.9375
VB | CD = -20.2685
JJ | CD = -2.91929
MD | CD = -6.17571
VBG | CD = -5.15157
RBR | CD = -4.59833
: | CD = -5.45708
WP | CD = -9.48895
WDT | CD = -10.1154
JJR | CD = -3.72578
PDT | CD = -6.53973
RBS | CD = -6.51633
WRB | CD = -8.57903
JJS | CD = -4.63896
$ | CD = -5.08795
RP | CD = -9.65316
FW | CD = -8.07865
EX | CD = -11.3694
SYM | CD = -9.95571
# | CD = -9.91106
LS | CD = -10.3409
UH | CD = -9.90714
WP$ | CD = -7.58867
IN | NN = -1.94768
DT | NN = -1.18527
NNP | NN = -2.87181
CD | NN = -3.88145
NN | NN = -2.30658
`` | NN = -5.35188
'' | NN = -5.55459
POS | NN = -4.19674
( | NN = -7.36924
VBN | NN = -4.00486
NNS | NN = -5.20098
VBP | NN = -5.46046
, | NN = -3.56918
CC | NN = -3.73693
) | NN = -7.45793
VBD | NN = -4.89419
RB | NN = -4.70454
TO | NN = -3.98872
. | NN = -6.56953
VBZ | NN = -4.71025
NNPS | NN = -6.81963
PRP | NN = -7.31926
PRP$ | NN = -3.41703
VB | NN = -15.65
JJ | NN = -1.88086
MD | NN = -5.55214
VBG | NN = -4.49202
RBR | NN = -6.83879
: | NN = -5.41715
WP | NN = -8.65606
WDT | NN = -8.47119
JJR | NN = -5.27441
PDT | NN = -6.63731
RBS | NN = -8.50563
WRB | NN = -8.16059
JJS | NN = -5.62311
$ | NN = -5.37975
RP | NN = -8.51244
FW | NN = -8.08751
EX | NN = -9.73844
SYM | NN = -9.93576
# | NN = -9.51728
LS | NN = -10.0543
UH | NN = -9.88823
WP$ | NN = -7.43421
IN | `` = -3.62121
DT | `` = -3.55184
NNP | `` = -3.91928
CD | `` = -3.69013
NN | `` = -3.68018
`` | `` = -3.90813
'' | `` = -3.92638
POS | `` = -3.8244
( | `` = -4.05143
VBN | `` = -3.57703
NNS | `` = -3.73992
VBP | `` = -3.72887
, | `` = -3.86906
CC | `` = -3.81861
) | `` = -4.06566
VBD | `` = -3.88073
RB | `` = -3.80497
TO | `` = -3.71148
. | `` = -4.04524
VBZ | `` = -3.86882
NNPS | `` = -4.06114
PRP | `` = -3.97626
PRP$ | `` = -3.35501
VB | `` = -4.51584
JJ | `` = -3.42582
MD | `` = -3.84707
VBG | `` = -3.66361
RBR | `` = -3.8382
: | `` = -3.8644
WP | `` = -4.03737
WDT | `` = -4.11158
JJR | `` = -3.66528
PDT | `` = -3.7625
RBS | `` = -3.90421
WRB | `` = -3.90684
JJS | `` = -3.68116
$ | `` = -3.88418
RP | `` = -3.8455
FW | `` = -4.03671
EX | `` = -4.08955
SYM | `` = -4.0548
# | `` = -4.0635
LS | `` = -4.04164
UH | `` = -4.06802
WP$ | `` = -3.82203
IN | '' = -3.15602
DT | '' = -3.48345
NNP | '' = -2.49425
CD | '' = -4.00379
NN | '' = -2.6337
`` | '' = -3.53173
'' | '' = -3.63661
POS | '' = -4.42042
( | '' = -4.41317
VBN | '' = -3.72896
NNS | '' = -3.38622
VBP | '' = -3.80003
, | '' = -2.95946
CC | '' = -3.27761
) | '' = -4.41936
VBD | '' = -3.50897
RB | '' = -3.40232
TO | '' = -3.71728
. | '' = -3.25954
VBZ | '' = -3.32281
NNPS | '' = -3.77009
PRP | '' = -3.57528
PRP$ | '' = -5.09292
VB | '' = -4.49646
JJ | '' = -3.61043
MD | '' = -3.65979
VBG | '' = -3.57803
RBR | '' = -4.86951
: | '' = -3.83825
WP | '' = -4.27135
WDT | '' = -3.74184
