Current epoch = 1
IN | IN = -3.3668
DT | IN = -5.77797
NNP | IN = -1.72311
CD | IN = -5.07697
NN | IN = -1.20192
`` | IN = -4.8529
'' | IN = -5.01281
POS | IN = -6.43405
( | IN = -7.76998
VBN | IN = -4.53828
NNS | IN = -1.85091
VBP | IN = -4.88055
, | IN = -2.3409
CC | IN = -3.72206
) | IN = -7.9515
VBD | IN = -4.25001
RB | IN = -3.90013
TO | IN = -4.68668
. | IN = -3.74633
VBZ | IN = -4.07598
NNPS | IN = -6.30177
PRP | IN = -4.53717
PRP$ | IN = -7.66156
VB | IN = -4.3773
JJ | IN = -4.86537
MD | IN = -4.69479
VBG | IN = -4.00855
RBR | IN = -7.3841
: | IN = -6.21372
WP | IN = -6.4531
WDT | IN = -5.66603
JJR | IN = -6.9711
PDT | IN = -8.67844
RBS | IN = -8.96605
WRB | IN = -6.84978
JJS | IN = -7.39255
$ | IN = -4.98033
RP | IN = -6.85194
FW | IN = -8.94561
EX | IN = -8.18058
SYM | IN = -9.33897
# | IN = -9.32218
LS | IN = -9.46645
UH | IN = -9.21986
WP$ | IN = -9.29177
IN | DT = -2.47036
DT | DT = -3.40167
NNP | DT = -3.06568
CD | DT = -3.58971
NN | DT = -2.52832
`` | DT = -3.8464
'' | DT = -3.86492
POS | DT = -4.50166
( | DT = -4.99388
VBN | DT = -3.27875
NNS | DT = -3.01408
VBP | DT = -3.95069
, | DT = -3.07525
CC | DT = -3.30907
) | DT = -5.01847
VBD | DT = -3.76642
RB | DT = -3.21339
TO | DT = -3.16441
. | DT = -3.47333
VBZ | DT = -3.6988
NNPS | DT = -4.48227
PRP | DT = -3.86574
PRP$ | DT = -4.10875
VB | DT = -4.95218
JJ | DT = -3.04019
MD | DT = -3.82722
VBG | DT = -3.40895
RBR | DT = -4.72919
: | DT = -4.25275
WP | DT = -4.51989
WDT | DT = -4.35545
JJR | DT = -4.34825
PDT | DT = -5.29521
RBS | DT = -5.41123
WRB | DT = -4.58918
JJS | DT = -4.59576
$ | DT = -4.06132
RP | DT = -4.53769
FW | DT = -5.52816
EX | DT = -5.13985
SYM | DT = -5.64866
# | DT = -5.62436
LS | DT = -5.64109
UH | DT = -5.60518
WP$ | DT = -5.49768
IN | NNP = -4.76812
DT | NNP = -2.37556
NNP | NNP = -0.81761
CD | NNP = -3.46047
NN | NNP = -2.13987
`` | NNP = -5.56105
'' | NNP = -6.00657
POS | NNP = -2.93841
( | NNP = -6.99402
VBN | NNP = -6.06938
NNS | NNP = -3.84961
VBP | NNP = -5.21368
, | NNP = -2.31529
CC | NNP = -3.51141
) | NNP = -6.88145
VBD | NNP = -4.40355
RB | NNP = -6.5126
TO | NNP = -6.54962
. | NNP = -8.13435
VBZ | NNP = -4.2488
NNPS | NNP = -6.20231
PRP | NNP = -7.95632
PRP$ | NNP = -5.14002
VB | NNP = -9.04683
JJ | NNP = -3.77344
MD | NNP = -5.47038
VBG | NNP = -4.7982
RBR | NNP = -7.14572
: | NNP = -6.04147
WP | NNP = -7.38799
WDT | NNP = -7.16911
JJR | NNP = -6.29612
PDT | NNP = -7.85371
RBS | NNP = -8.45269
WRB | NNP = -7.71255
JJS | NNP = -6.48643
$ | NNP = -5.40337
RP | NNP = -7.39512
FW | NNP = -8.44617
EX | NNP = -8.16012
SYM | NNP = -8.98441
# | NNP = -8.78407
LS | NNP = -8.77163
UH | NNP = -8.74531
WP$ | NNP = -8.74386
IN | CD = -1.8183
DT | CD = -2.68728
NNP | CD = -2.94153
CD | CD = -3.42457
NN | CD = -2.17122
`` | CD = -4.30452
'' | CD = -4.36173
POS | CD = -4.82527
( | CD = -6.01601
VBN | CD = -3.31169
NNS | CD = -3.22278
VBP | CD = -4.4638
, | CD = -2.99509
CC | CD = -3.24072
) | CD = -6.00005
VBD | CD = -4.15386
RB | CD = -3.42583
TO | CD = -3.10148
. | CD = -4.2261
VBZ | CD = -4.04286
NNPS | CD = -5.28192
PRP | CD = -4.77056
PRP$ | CD = -3.98793
VB | CD = -7.17975
JJ | CD = -2.401
MD | CD = -4.29953
VBG | CD = -3.54344
RBR | CD = -5.61157
: | CD = -4.8181
WP | CD = -5.48732
WDT | CD = -5.34189
JJR | CD = -4.82774
PDT | CD = -6.49531
RBS | CD = -6.73673
WRB | CD = -5.56293
JJS | CD = -5.24157
$ | CD = -4.68542
RP | CD = -5.41021
FW | CD = -6.97592
EX | CD = -6.36402
SYM | CD = -7.18927
# | CD = -7.11828
LS | CD = -7.10608
UH | CD = -7.10158
WP$ | CD = -6.86185
IN | NN = -1.95483
DT | NN = -1.2002
NNP | NN = -3.06943
CD | NN = -3.19051
NN | NN = -2.54938
`` | NN = -5.49835
'' | NN = -5.68772
POS | NN = -4.56827
( | NN = -7.33983
VBN | NN = -4.25883
NNS | NN = -4.59611
VBP | NN = -5.6221
, | NN = -3.43639
CC | NN = -3.56782
) | NN = -7.19849
VBD | NN = -5.12455
RB | NN = -4.94202
TO | NN = -4.02718
. | NN = -6.93468
VBZ | NN = -4.97076
NNPS | NN = -6.60816
PRP | NN = -7.32272
PRP$ | NN = -3.42644
VB | NN = -11.6815
JJ | NN = -1.73072
MD | NN = -5.5418
VBG | NN = -4.38906
RBR | NN = -6.95151
: | NN = -5.83134
WP | NN = -7.32351
WDT | NN = -7.38979
JJR | NN = -5.55676
PDT | NN = -8.00528
RBS | NN = -8.48034
WRB | NN = -7.37631
JJS | NN = -6.0932
$ | NN = -5.98277
RP | NN = -6.9892
FW | NN = -8.86731
EX | NN = -8.15256
SYM | NN = -9.22254
# | NN = -9.03746
LS | NN = -8.93853
UH | NN = -9.0613
WP$ | NN = -8.62875
IN | `` = -3.89497
DT | `` = -3.69215
NNP | `` = -4.02633
CD | `` = -3.816
NN | `` = -4.0356
`` | `` = -3.90815
'' | `` = -3.90814
POS | `` = -3.77009
( | `` = -3.78099
VBN | `` = -3.89123
NNS | `` = -4.07236
VBP | `` = -3.91279
, | `` = -4.0046
CC | `` = -3.91208
) | `` = -3.76723
VBD | `` = -3.93564
RB | `` = -3.96486
TO | `` = -3.87423
. | `` = -4.04515
VBZ | `` = -3.94109
NNPS | `` = -3.85571
PRP | `` = -3.99931
PRP$ | `` = -3.65485
VB | `` = -4.15414
JJ | `` = -3.76986
MD | `` = -3.92284
VBG | `` = -3.92353
RBR | `` = -3.79765
: | `` = -3.83481
WP | `` = -3.87678
WDT | `` = -3.92754
JJR | `` = -3.77057
PDT | `` = -3.75073
RBS | `` = -3.74835
WRB | `` = -3.85365
JJS | `` = -3.76367
$ | `` = -3.91576
RP | `` = -3.8362
FW | `` = -3.76085
EX | `` = -3.78786
SYM | `` = -3.75052
# | `` = -3.74499
LS | `` = -3.72902
UH | `` = -3.7541
WP$ | `` = -3.73115
IN | '' = -3.88341
DT | '' = -3.61929
NNP | '' = -3.57648
CD | '' = -3.7002
NN | '' = -3.71322
`` | '' = -3.84782
'' | '' = -3.87752
POS | '' = -3.59316
( | '' = -3.85161
VBN | '' = -3.92212
NNS | '' = -3.80512
VBP | '' = -3.81505
, | '' = -3.68128
CC | '' = -3.73925
) | '' = -3.83919
VBD | '' = -3.77281
RB | '' = -3.96609
TO | '' = -3.96211
. | '' = -4.07716
VBZ | '' = -3.76702
NNPS | '' = -3.84084
PRP | '' = -4.03109
PRP$ | '' = -3.7615
VB | '' = -4.05686
JJ | '' = -3.7587
MD | '' = -3.84398
VBG | '' = -3.82563
RBR | '' = -3.88218
: | '' = -3.84144
WP | '' = -3.92483
WDT | '' = -3.92864
JJR | '' = -3.84616
PDT | '' = -3.88682
RBS | '' = -3.92156
WRB | '' = -3.93919
JJS | '' = -3.84021
$ | '' = -3.82217
RP | '' = -3.91776
FW | '' = -3.91487
EX | '' = -3.92518
SYM | '' = -3.94226
# | '' = -3.92884
LS | '' = -3.92621
UH | '' = -3.92907
WP$ | '' = -3.93422
IN | POS = -3.95706
DT | POS = -3.7977
NNP | POS = -4.09902
CD | POS = -3.87479
NN | POS = -4.11739
`` | POS = -3.92473
'' | POS = -3.91593
POS | POS = -3.81577
( | POS = -3.7651
VBN | POS = -3.92042
NNS | POS = -4.10685
VBP | POS = -3.92625
, | POS = -4.06041
CC | POS = -3.96879
) | POS = -3.75075
VBD | POS = -3.96076
RB | POS = -3.97063
TO | POS = -3.90415
. | POS = -4.01228
VBZ | POS = -3.96936
NNPS | POS = -3.8488
PRP | POS = -3.96763
PRP$ | POS = -3.70754
VB | POS = -4.05423
JJ | POS = -3.86138
MD | POS = -3.93568
VBG | POS = -3.96038
RBR | POS = -3.7821
: | POS = -3.8403
WP | POS = -3.848
WDT | POS = -3.90075
JJR | POS = -3.7858
PDT | POS = -3.71463
RBS | POS = -3.70406
WRB | POS = -3.82248
JJS | POS = -3.76814
$ | POS = -3.92551
RP | POS = -3.81616
FW | POS = -3.71131
EX | POS = -3.74905
SYM | POS = -3.69053
# | POS = -3.69024
LS | POS = -3.67925
UH | POS = -3.69676
WP$ | POS = -3.68491
IN | ( = -3.77933
DT | ( = -4.07381
NNP | ( = -4.03133
CD | ( = -3.97937
NN | ( = -3.90429
`` | ( = -3.84286
'' | ( = -3.8163
POS | ( = -4.10306
( | ( = -3.89203
VBN | ( = -3.76958
NNS | ( = -3.82704
VBP | ( = -3.8719
, | ( = -3.94438
CC | ( = -3.92317
